filename,start_time,end_time,chord
Come_Take_My_Hand.mid,2.857,5.357,D Minor
Come_Take_My_Hand.mid,5.714,8.214,A Minor
Come_Take_My_Hand.mid,8.571,11.071,C Major
Come_Take_My_Hand.mid,11.429,13.929,G Minor
Come_Take_My_Hand.mid,14.286,16.429,D Minor
Come_Take_My_Hand.mid,17.143,19.107,A Minor
Come_Take_My_Hand.mid,19.222,19.643,A Minor
Come_Take_My_Hand.mid,20.208,20.714,Unknown
Come_Take_My_Hand.mid,20.811,21.429,Unknown
Come_Take_My_Hand.mid,22.857,24.9,G Minor
Come_Take_My_Hand.mid,24.9,25.714,Unknown
Come_Take_My_Hand.mid,25.714,27.857,D Minor
Come_Take_My_Hand.mid,28.571,30.536,A Minor
Come_Take_My_Hand.mid,30.651,31.071,A Minor
Come_Take_My_Hand.mid,31.429,32.24,C Major
Come_Take_My_Hand.mid,32.24,32.857,Unknown
Come_Take_My_Hand.mid,34.286,36.328,G Minor
Come_Take_My_Hand.mid,36.328,37.143,Unknown
Come_Take_My_Hand.mid,39.007,39.405,Unknown
Come_Take_My_Hand.mid,39.643,40.0,Unknown
Come_Take_My_Hand.mid,41.905,42.411,Unknown
Come_Take_My_Hand.mid,43.333,43.839,Unknown
Come_Take_My_Hand.mid,46.19,46.964,Unknown
Come_Take_My_Hand.mid,47.619,48.393,Unknown
Come_Take_My_Hand.mid,50.435,50.833,Unknown
Come_Take_My_Hand.mid,51.071,51.429,Unknown
Come_Take_My_Hand.mid,53.333,53.839,Unknown
Come_Take_My_Hand.mid,54.762,55.268,Unknown
Come_Take_My_Hand.mid,57.619,58.393,Unknown
Come_Take_My_Hand.mid,59.048,59.821,Unknown
Come_Take_My_Hand.mid,82.857,85.0,D Minor
Come_Take_My_Hand.mid,85.714,87.679,A Minor
Come_Take_My_Hand.mid,87.794,88.214,A Minor
Come_Take_My_Hand.mid,88.78,89.286,Unknown
Come_Take_My_Hand.mid,89.382,90.0,Unknown
Come_Take_My_Hand.mid,91.429,93.471,G Minor
Come_Take_My_Hand.mid,93.471,94.286,Unknown
Come_Take_My_Hand.mid,94.286,96.429,D Minor
Come_Take_My_Hand.mid,97.143,99.107,A Minor
Come_Take_My_Hand.mid,99.223,99.643,A Minor
Come_Take_My_Hand.mid,100.0,100.811,C Major
Come_Take_My_Hand.mid,100.811,101.429,Unknown
Come_Take_My_Hand.mid,102.857,104.9,G Minor
Come_Take_My_Hand.mid,104.9,105.714,Unknown
Come_Take_My_Hand.mid,107.578,107.976,Unknown
Come_Take_My_Hand.mid,108.214,108.571,Unknown
Come_Take_My_Hand.mid,110.476,110.982,Unknown
Come_Take_My_Hand.mid,111.905,112.411,Unknown
Come_Take_My_Hand.mid,114.762,115.536,Unknown
Come_Take_My_Hand.mid,116.191,116.964,Unknown
Come_Take_My_Hand.mid,119.007,119.405,Unknown
Come_Take_My_Hand.mid,119.643,120.0,Unknown
Come_Take_My_Hand.mid,121.905,122.411,Unknown
Come_Take_My_Hand.mid,123.333,123.839,Unknown
Come_Take_My_Hand.mid,126.191,126.964,Unknown
Come_Take_My_Hand.mid,127.619,128.393,Unknown
Come_Take_My_Hand.mid,128.571,128.929,D Minor
Come_Take_My_Hand.mid,129.107,129.643,D Minor
Come_Take_My_Hand.mid,129.821,130.357,D Minor
Come_Take_My_Hand.mid,130.536,131.071,D Minor
Come_Take_My_Hand.mid,131.429,131.786,A Minor
Come_Take_My_Hand.mid,131.964,132.5,A Minor
Come_Take_My_Hand.mid,132.679,133.214,A Minor
Come_Take_My_Hand.mid,133.393,133.929,A Minor
Come_Take_My_Hand.mid,134.286,134.643,C Major
Come_Take_My_Hand.mid,134.821,135.357,C Major
Come_Take_My_Hand.mid,135.536,136.071,C Major
Come_Take_My_Hand.mid,136.25,136.786,C Major
Come_Take_My_Hand.mid,137.143,137.5,G Minor
Come_Take_My_Hand.mid,137.679,138.214,G Minor
Come_Take_My_Hand.mid,138.393,138.929,G Minor
Come_Take_My_Hand.mid,139.107,139.643,G Minor
Come_Take_My_Hand.mid,140.0,140.357,D Minor
Come_Take_My_Hand.mid,140.536,141.071,D Minor
Come_Take_My_Hand.mid,141.25,141.786,D Minor
Come_Take_My_Hand.mid,141.964,142.5,D Minor
Come_Take_My_Hand.mid,142.857,143.214,A Minor
Come_Take_My_Hand.mid,143.393,143.929,A Minor
Come_Take_My_Hand.mid,144.107,144.643,A Minor
Come_Take_My_Hand.mid,144.821,145.357,A Minor
Come_Take_My_Hand.mid,145.714,146.071,C Major
Come_Take_My_Hand.mid,146.25,146.786,C Major
Come_Take_My_Hand.mid,146.964,147.5,C Major
Come_Take_My_Hand.mid,147.679,148.214,C Major
Come_Take_My_Hand.mid,148.571,148.929,G Minor
Come_Take_My_Hand.mid,149.107,149.643,G Minor
Come_Take_My_Hand.mid,149.821,150.357,G Minor
Come_Take_My_Hand.mid,150.536,151.071,G Minor
Come_Take_My_Hand.mid,174.286,176.429,D Minor
Come_Take_My_Hand.mid,177.143,179.107,A Minor
Come_Take_My_Hand.mid,179.223,179.643,A Minor
Come_Take_My_Hand.mid,180.208,180.714,Unknown
